"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2003","Carlos Lee","White Sox","158","671","31","100","113","18","5.5 %","13.6 %",".209",".295",".291",".331",".499",".354","113","3.4","14.2","0.9","3.8","243"
"2003","Brad Wilkerson","Expos","146","602","19","78","77","13","14.8 %","25.7 %",".196",".348",".268",".380",".464",".370","120","0.6","16.2","2.1","3.7","804"
"1995","Tony Phillips","Angels","139","643","27","119","61","13","17.6 %","21.0 %",".198",".302",".261",".394",".459",".379","124","-2.0","17.8","-1.3","3.7","1010300"
"1993","Bernard Gilkey","Cardinals","137","622","16","99","70","15","9.0 %","10.6 %",".176",".321",".305",".370",".481",".375","130","-1.0","22.1","-7.1","3.7","1004706"
"2003","Chipper Jones","Braves","153","656","27","103","106","2","14.3 %","12.7 %",".213",".315",".305",".402",".517",".391","137","-1.6","29.4","-13.5","3.7","97"
"2006","Matt Holliday","Rockies","155","667","34","119","114","10","7.0 %","16.5 %",".261",".351",".326",".387",".586",".410","139","-1.5","32.1","-16.6","3.7","1873"
"2001","Frank Catalanotto","Rangers","133","512","11","77","54","15","7.6 %","10.7 %",".160",".357",".330",".391",".490",".381","129","0.8","19.8","-0.2","3.7","1241"
"2011","Carlos Gonzalez","Rockies","127","542","26","92","92","20","8.9 %","19.4 %",".231",".326",".295",".363",".526",".380","126","4.3","20.9","-3.3","3.6","7287"
"1996","Bobby Higginson","Tigers","130","515","26","75","81","6","12.6 %","12.8 %",".257",".325",".320",".404",".577",".415","141","-0.3","29.1","-9.8","3.6","469"
"1990","Kevin McReynolds","Mets","147","601","24","75","82","9","11.8 %","10.1 %",".186",".261",".269",".353",".455",".355","123","0.8","17.2","-3.4","3.6","1008690"
"2001","Shannon Stewart","Blue Jays","155","698","12","103","60","27","6.6 %","10.3 %",".147",".341",".316",".371",".463",".362","119","1.0","18.2","-5.4","3.6","1322"
"1995","Marty Cordova","Twins","137","579","24","81","84","20","9.0 %","19.2 %",".209",".309",".277",".352",".486",".366","114","0.8","11.7","5.3","3.6","132"
"2012","Alfonso Soriano","Cubs","151","615","32","68","108","6","7.2 %","24.9 %",".237",".303",".262",".322",".499",".350","117","-2.4","9.9","5.2","3.6","847"
"2002","Garret Anderson","Angels","158","678","29","93","123","6","4.4 %","11.8 %",".234",".308",".306",".332",".539",".364","123","1.3","20.8","-8.1","3.6","2"
"1999","Gary Sheffield","Dodgers","152","663","34","103","101","11","15.2 %","9.7 %",".222",".285",".301",".407",".523",".402","141","0.0","37.2","-19.6","3.6","114"
"2008","Johnny Damon","Yankees","143","623","17","95","71","29","10.3 %","13.2 %",".159",".330",".303",".375",".461",".369","125","1.0","20.3","-5.7","3.6","185"
"2007","Eric Byrnes","Diamondbacks","160","699","21","103","83","50","8.2 %","14.0 %",".174",".309",".286",".353",".460",".353","104","9.4","13.0","0.1","3.5","905"
"2012","Josh Willingham","Twins","145","615","35","85","110","3","12.4 %","22.9 %",".264",".287",".260",".366",".524",".380","142","0.4","30.7","-17.0","3.5","2103"
"1999","Greg Vaughn","Reds","153","643","45","104","118","15","13.2 %","21.3 %",".289",".241",".245",".347",".535",".374","116","2.1","15.7","0.2","3.5","1233"
"1991","Ivan Calderon","Expos","134","537","19","69","75","31","9.9 %","11.9 %",".181",".307",".300",".368",".481",".374","139","-0.1","23.6","-7.5","3.5","1001825"
"2009","Raul Ibanez","Phillies","134","565","34","93","93","4","9.9 %","21.1 %",".280",".290",".272",".347",".552",".378","130","-0.6","20.3","-3.3","3.5","607"
"2004","Manny Ramirez","Red Sox","152","663","43","108","130","2","12.4 %","18.7 %",".305",".324",".308",".397",".613",".417","153","-5.4","39.1","-25.8","3.5","210"
"2004","Lew Ford","Twins","154","658","15","89","72","20","10.2 %","11.4 %",".148",".319",".299",".381",".446",".362","118","2.5","17.5","-4.0","3.5","1724"
"2013","Alex Gordon","Royals","156","700","20","90","81","11","7.4 %","20.1 %",".156",".310",".265",".327",".422",".326","104","4.8","7.7","1.6","3.5","5209"
"2004","Eric Byrnes","Athletics","143","632","20","91","73","17","7.3 %","17.6 %",".185",".318",".283",".347",".467",".352","112","6.3","16.0","-1.8","3.5","905"
"2006","Raul Ibanez","Mariners","159","699","33","103","123","2","9.3 %","16.5 %",".227",".305",".289",".353",".516",".362","121","0.6","19.7","-7.7","3.5","607"
"2006","Emil Brown","Royals","147","601","15","77","81","6","9.8 %","15.8 %",".171",".319",".287",".358",".457",".351","110","2.3","9.9","5.3","3.5","1197"
"2009","David DeJesus","Royals","144","627","13","74","71","4","8.1 %","13.9 %",".152",".311",".281",".347",".434",".343","105","-1.0","2.9","10.2","3.4","1825"
"2003","Moises Alou","Cubs","151","638","22","83","91","3","9.9 %","10.5 %",".182",".284",".280",".357",".462",".354","112","-0.8","9.4","4.7","3.4","261"
"2007","Carl Crawford","Devil Rays","143","627","11","93","80","50","5.1 %","17.9 %",".151",".374",".315",".355",".466",".355","116","8.8","21.1","-7.7","3.4","1201"
"1991","Luis Gonzalez","Astros","137","526","13","51","69","10","7.6 %","19.2 %",".180",".295",".254",".320",".433",".334","113","-0.8","7.0","9.4","3.4","55"
