"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Reyes","Marlins","160","716","11","86","57","40","8.8 %","7.8 %",".146",".298",".287",".347",".433",".335","108","4.6","11.7","4.1","4.0","1736"
"Ryan Zimmerman","Nationals","145","641","25","93","95","5","8.9 %","18.1 %",".196",".313",".282",".346",".478",".352","121","0.8","16.9","1.3","4.0","4220"
"Edwin Encarnacion","Blue Jays","151","644","42","93","110","13","13.0 %","14.6 %",".277",".266",".280",".384",".557",".396","150","1.0","38.5","-21.5","4.0","2151"
"Matt Wieters","Orioles","144","593","23","67","83","3","10.1 %","18.9 %",".186",".274",".249",".329",".435",".331","107","-4.9","0.0","18.3","3.9","4298"
"Elvis Andrus","Rangers","158","711","3","85","62","21","8.0 %","13.5 %",".092",".332",".286",".349",".378",".322","96","2.9","-0.3","14.7","3.9","8709"
"David Freese","Cardinals","144","567","20","70","79","3","10.1 %","21.5 %",".174",".352",".293",".372",".467",".365","132","-6.1","15.4","4.1","3.9","9549"
"David Murphy","Rangers","147","521","15","65","61","10","10.4 %","14.2 %",".175",".333",".304",".380",".479",".369","128","1.3","18.5","1.6","3.9","6035"
"Nick Swisher","Yankees","148","624","24","75","93","2","12.3 %","22.6 %",".201",".324",".272",".364",".473",".363","128","-0.9","19.3","-3.4","3.8","4599"
"Erick Aybar","Angels","141","554","8","67","45","20","4.0 %","11.0 %",".126",".316",".290",".324",".416",".321","107","5.1","9.6","8.6","3.8","4082"
"Albert Pujols","Angels","154","670","30","85","105","8","7.8 %","11.3 %",".231",".282",".285",".343",".516",".360","133","-5.8","20.4","-6.5","3.7","1177"
"A.J. Ellis","Dodgers","133","505","13","44","52","0","12.9 %","21.2 %",".144",".329",".270",".373",".414",".341","117","-1.6","8.8","10.3","3.7","5677"
"Brandon Phillips","Reds","147","623","18","86","77","15","4.5 %","12.7 %",".148",".298",".281",".321",".429",".325","101","3.5","4.1","10.8","3.6","791"
"Alfonso Soriano","Cubs","151","615","32","68","108","6","7.2 %","24.9 %",".237",".303",".262",".322",".499",".350","117","-2.4","9.9","5.2","3.6","847"
"Kyle Seager","Mariners","155","651","20","62","86","13","7.1 %","16.9 %",".163",".286",".259",".316",".423",".321","108","0.1","6.1","7.0","3.6","9785"
"Denard Span","Twins","128","568","4","71","41","17","8.3 %","10.9 %",".112",".315",".283",".342",".395",".325","104","3.2","6.0","9.4","3.6","8347"
"Josh Willingham","Twins","145","615","35","85","110","3","12.4 %","22.9 %",".264",".287",".260",".366",".524",".380","142","0.4","30.7","-17.0","3.5","2103"
"A.J. Pierzynski","White Sox","135","520","27","68","77","0","5.4 %","15.0 %",".223",".280",".278",".326",".501",".351","119","-3.2","8.4","6.7","3.4","746"
"Danny Espinosa","Nationals","160","658","17","82","56","20","7.0 %","28.7 %",".155",".333",".247",".315",".402",".313","95","-0.9","-5.2","16.4","3.3","9219"
"Adam LaRoche","Nationals","154","647","33","76","100","1","10.4 %","21.3 %",".238",".298",".271",".343",".510",".361","127","-4.2","16.6","-5.1","3.3","1904"
"Adrian Gonzalez","- - -","159","684","18","75","108","2","6.1 %","16.1 %",".164",".334",".299",".344",".463",".346","116","-5.8","7.2","2.4","3.3","1908"
"Dan Uggla","Braves","154","630","19","86","78","4","14.9 %","26.7 %",".164",".283",".220",".348",".384",".325","103","2.4","5.0","6.5","3.3","3442"
"Desmond Jennings","Rays","132","563","13","85","47","31","8.2 %","21.3 %",".143",".298",".246",".314",".388",".309","98","8.1","7.0","6.0","3.3","1965"
"Carlos Beltran","Cardinals","151","619","32","83","97","13","10.5 %","20.0 %",".227",".291",".269",".346",".495",".355","125","-2.7","15.5","-4.5","3.2","589"
"Carlos Santana","Indians","143","609","18","72","76","3","14.9 %","16.6 %",".168",".278",".252",".365",".420",".344","120","-5.3","8.7","1.8","3.2","2396"
"Starlin Castro","Cubs","162","691","14","78","78","25","5.2 %","14.5 %",".147",".315",".283",".323",".430",".323","99","-0.1","-0.9","9.2","3.2","4579"
"B.J. Upton","Rays","146","633","28","79","78","31","7.1 %","26.7 %",".208",".294",".246",".298",".454",".323","108","4.0","9.8","-0.4","3.2","5015"
